n_samples,exp_num,n_perspectives,n_clusters,perplexity,separation_error,time
400,1,4,2,80,0.08937500000000001,24.217381715774536
400,2,4,2,80,0.13249999999999998,23.87185311317444
400,3,4,2,80,0.10749999999999998,24.178006172180176
400,4,4,2,80,0.13374999999999998,24.366502285003662
400,0,5,2,80,0.1465,30.121334075927734
400,1,5,2,80,0.1815,30.60955810546875
400,2,5,2,80,0.1835,30.985673904418945
400,3,5,2,80,0.16799999999999998,30.491400957107544
400,4,5,2,80,0.186,30.93389916419983
400,0,6,2,80,0.2175,37.177162885665894
400,1,6,2,80,0.23791666666666664,37.06411123275757
400,2,6,2,80,0.19874999999999998,37.124685764312744
400,3,6,2,80,0.1991666666666667,36.97455620765686
400,4,6,2,80,0.20624999999999996,36.88064408302307
400,0,7,2,80,0.25285714285714284,43.07314205169678
400,1,7,2,80,0.23321428571428568,43.28218197822571
400,2,7,2,80,0.24964285714285714,43.025907039642334
400,3,7,2,80,0.21785714285714278,43.04926109313965
400,4,7,2,80,0.27214285714285713,43.01726698875427
400,0,8,2,80,0.248125,49.4401319026947
400,1,8,2,80,0.2640625,49.13660001754761
400,2,8,2,80,0.23250000000000004,48.12394595146179
400,3,8,2,80,0.255,48.31795573234558
400,4,8,2,80,0.274375,48.273380756378174
400,0,9,2,80,0.29666666666666663,54.363309144973755
400,1,9,2,80,0.26166666666666666,54.2193877696991
400,2,9,2,80,0.27777777777777785,54.25626540184021
400,3,9,2,80,0.27111111111111114,54.27378606796265
400,4,9,2,80,0.2766666666666666,54.10497713088989
400,0,10,2,80,0.27999999999999997,60.43455791473389
400,1,10,2,80,0.2915,60.64648771286011
400,2,10,2,80,0.268,60.96783900260925
400,3,10,2,80,0.30975,60.55597710609436
400,4,10,2,80,0.2805,60.883368253707886
400,0,2,2,160,0.0,12.136663913726807
400,1,2,2,160,0.0,12.252731800079346
400,2,2,2,160,0.0,11.91336703300476
400,3,2,2,160,0.0,11.999306917190552
400,4,2,2,160,0.0,12.206223249435425
400,0,3,2,160,0.0008333333333333156,17.907278060913086
400,1,3,2,160,0.0,17.820059061050415
400,2,3,2,160,0.0,17.799692153930664
400,3,3,2,160,0.0,17.807486057281494
400,4,3,2,160,0.0008333333333333156,17.818185091018677
400,0,4,2,160,0.05687499999999998,23.78165316581726
400,1,4,2,160,0.08875,23.87458610534668
400,2,4,2,160,0.05875,23.896963119506836
400,3,4,2,160,0.08812499999999998,23.80761218070984
400,4,4,2,160,0.07375000000000001,24.241050958633423
400,0,5,2,160,0.13699999999999998,30.46068811416626
400,1,5,2,160,0.145,30.734435081481934
400,2,5,2,160,0.15899999999999997,30.256541967391968
400,3,5,2,160,0.1515,29.992157220840454
400,4,5,2,160,0.142,30.47918200492859
400,0,6,2,160,0.22749999999999995,37.156299114227295
400,1,6,2,160,0.17041666666666666,37.08458209037781
400,2,6,2,160,0.18666666666666665,37.039729833602905
400,3,6,2,160,0.19125,36.98430299758911
400,4,6,2,160,0.18333333333333335,37.28524899482727
400,0,7,2,160,0.2089285714285714,43.0250461101532
400,1,7,2,160,0.21357142857142855,43.26064991950989
400,2,7,2,160,0.23607142857142857,43.273446798324585
400,3,7,2,160,0.24285714285714283,43.22728395462036
400,4,7,2,160,0.215,42.854888916015625
400,0,8,2,160,0.2184375,48.686763048172
400,1,8,2,160,0.27375,47.905966997146606
400,2,8,2,160,0.23875000000000002,47.644407987594604
400,3,8,2,160,0.25375000000000003,47.7245192527771
400,4,8,2,160,0.2078125,47.3977108001709
400,0,9,2,160,0.2616666666666667,54.17332100868225
400,1,9,2,160,0.26499999999999996,54.490822076797485
400,2,9,2,160,0.25305555555555553,53.368449211120605
400,3,9,2,160,0.26694444444444443,53.298232078552246
400,4,9,2,160,0.25472222222222224,54.02618980407715
400,0,10,2,160,0.28025,60.837454080581665
400,1,10,2,160,0.27725000000000005,61.412052154541016
400,2,10,2,160,0.261,60.82405877113342
400,3,10,2,160,0.28275,59.61143088340759
400,4,10,2,160,0.25325000000000003,59.189539194107056
400,0,2,2,240,0.0,12.256527185440063
400,1,2,2,240,0.0,12.265335083007812
400,2,2,2,240,0.0,12.055523157119751
400,3,2,2,240,0.0,12.28840184211731
400,4,2,2,240,0.0,12.466286182403564
400,0,3,2,240,0.0,18.23937726020813
400,1,3,2,240,0.0,18.523060083389282
400,2,3,2,240,0.0,18.500744342803955
400,3,3,2,240,0.0,18.16248321533203
400,4,3,2,240,0.0,18.1318941116333
400,0,4,2,240,0.08124999999999999,24.276285886764526
400,1,4,2,240,0.12437500000000001,24.321215867996216
400,2,4,2,240,0.103125,24.376377820968628
400,3,4,2,240,0.06062500000000001,24.485779285430908
400,4,4,2,240,0.09125,24.36584782600403
400,0,5,2,240,0.12450000000000001,30.60564613342285
400,1,5,2,240,0.15550000000000003,30.347187995910645
400,2,5,2,240,0.15350000000000003,30.115808963775635
400,3,5,2,240,0.1665,29.9017550945282
