,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
529,"POTATOES,MSHD,HOME-PREPARED,WHL MILK & BUTTER ADDED",75.61,113,1.86,4.22,1.5,16.81,1.5,1.43,24.0,0.26,18.0,45.0,284.0,317.0,0.27,0.138,0.114,0.8,6.0,0.086,0.041,1.072,0.468,0.222,8.0,0.0,8.0,8.0,13.5,0.07,138.0,38.0,37.0,0.0,9.0,0.0,0.0,7.0,0.12,0.2,10.0,2.0,2.613,1.07,0.199,11.0
530,"TOMATILLOS,RAW",91.63,32,0.96,1.02,0.55,5.84,1.9,3.93,7.0,0.62,20.0,39.0,268.0,1.0,0.22,0.079,0.153,0.5,11.7,0.044,0.035,1.85,0.15,0.056,7.0,0.0,7.0,7.0,7.6,0.0,114.0,6.0,0.0,10.0,63.0,0.0,0.0,467.0,0.38,0.0,0.0,10.1,0.139,0.155,0.417,0.0
531,"NOPALES,RAW",94.12,16,1.32,0.09,1.14,3.33,2.2,1.15,164.0,0.59,52.0,16.0,257.0,21.0,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.41,0.167,0.07,3.0,0.0,3.0,3.0,7.3,0.0,457.0,23.0,0.0,48.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.016,0.018,0.05,0.0
532,"NOPALES,CKD,WO/SALT",94.31,15,1.35,0.05,1.01,3.28,2.0,1.12,164.0,0.5,47.0,16.0,195.0,20.0,0.21,0.049,0.408,0.7,5.3,0.011,0.04,0.296,0.15,0.067,3.0,0.0,3.0,3.0,7.1,0.0,443.0,22.0,0.0,47.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.006,0.007,0.021,0.0
533,"MUSHROOMS,OYSTER,RAW",89.18,33,3.31,0.41,1.01,6.09,2.3,1.11,3.0,1.33,18.0,120.0,420.0,18.0,0.77,0.244,0.113,2.6,0.0,0.125,0.349,4.956,1.294,0.11,38.0,0.0,38.0,38.0,48.7,0.0,48.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.7,29.0,0.0,0.062,0.031,0.123,0.0
534,COCONUT H2O (LIQ FROM COCONUTS),94.99,19,0.72,0.2,0.39,3.71,1.1,2.61,24.0,0.29,25.0,20.0,250.0,105.0,0.1,0.04,0.142,1.0,2.4,0.03,0.057,0.08,0.043,0.032,3.0,0.0,3.0,3.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.008,0.002,0.0
535,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",69.46,165,21.22,8.29,1.02,0.0,0.0,0.0,27.0,1.55,22.0,193.0,330.0,54.0,3.81,0.071,0.013,23.3,0.0,0.056,0.09,6.842,0.619,0.571,12.0,0.0,12.0,12.0,88.6,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.1,4.0,1.3,3.443,3.38,0.335,68.0
536,"BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,RAW",68.72,149,21.72,6.29,0.99,0.0,0.0,0.0,28.0,1.62,23.0,204.0,340.0,57.0,4.12,0.072,0.014,25.4,0.0,0.06,0.106,7.353,0.647,0.596,13.0,0.0,13.0,13.0,90.7,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.1,3.0,1.2,2.612,2.477,0.259,69.0
537,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,CHOIC,RAW",69.97,160,22.1,7.27,1.0,0.0,0.0,0.0,21.0,1.65,11.0,196.0,263.0,35.0,3.86,0.061,0.003,22.5,0.0,0.051,0.225,5.765,0.347,0.634,4.0,0.0,4.0,4.0,54.3,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,3.0,1.3,2.782,3.091,0.374,59.0
538,"BEEF,SHRT LN,T-BONE STK,BN-IN,LN,1/8"" FAT,CHOIC,CKD,GRILLD",60.6,217,27.48,11.05,1.02,0.0,0.0,0.0,19.0,3.57,20.0,210.0,280.0,68.0,4.69,0.079,0.004,30.4,0.0,0.057,0.27,6.292,0.307,0.758,7.0,0.0,7.0,7.0,66.1,1.89,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,3.0,1.5,4.6,5.159,0.583,81.0
539,"BEEF,GROUND,PATTIES,FRZ,CKD,BRLD",53.91,295,23.05,21.83,0.9,0.0,0.0,0.0,11.0,2.42,19.0,174.0,305.0,77.0,4.84,0.077,0.022,21.5,0.0,0.03,0.176,5.305,0.545,0.435,21.0,0.0,21.0,21.0,74.6,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,8.0,2.3,8.805,9.358,0.656,84.0
540,"BEEF,CURED,CORNED BF,CND",57.72,250,27.1,14.93,2.9,0.0,0.0,0.0,12.0,2.08,14.0,111.0,136.0,897.0,3.57,0.064,0.014,42.9,0.0,0.02,0.147,2.43,0.626,0.13,9.0,0.0,9.0,9.0,89.2,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,10.0,1.6,6.18,5.96,0.63,86.0
541,"BEEF,COMP OF RTL CUTS,LN&FAT,0""FAT,SEL,CKD",61.79,203,28.61,9.18,1.16,0.0,0.0,0.0,15.0,2.69,19.0,231.0,333.0,62.0,6.0,0.085,0.008,28.7,0.0,0.08,0.268,5.794,0.552,0.566,7.0,0.0,7.0,7.0,86.9,2.63,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,2.0,1.4,3.69,4.142,0.548,85.0
542,"BEEF,BRISKET,WHL,LN&FAT,0""FAT,ALL GRDS,CKD,BRSD",51.54,291,26.79,19.52,0.95,0.0,0.0,0.0,7.0,2.53,21.0,216.0,259.0,65.0,5.96,0.108,0.015,23.3,0.0,0.07,0.2,3.37,0.32,0.27,7.0,0.0,7.0,7.0,102.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.3,13.0,1.8,7.53,8.68,0.67,93.0
543,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",64.67,188,26.79,8.21,1.11,0.0,0.0,0.0,6.0,2.18,17.0,166.0,217.0,35.0,4.49,0.064,0.009,27.4,0.0,0.062,0.143,4.682,0.528,0.352,8.0,0.0,8.0,8.0,102.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.2,6.0,1.3,3.007,3.405,0.305,78.0
544,"BEEF,RND,TIP RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",66.75,174,27.53,6.2,0.81,0.0,0.0,0.0,6.0,2.3,18.0,174.0,226.0,36.0,4.73,0.068,0.01,31.1,0.0,0.062,0.155,4.945,0.542,0.369,9.0,0.0,9.0,9.0,104.8,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.1,4.0,1.3,2.209,2.537,0.247,74.0
545,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",60.33,212,29.33,9.67,1.26,0.0,0.0,0.0,22.0,1.89,25.0,229.0,368.0,61.0,5.33,0.089,0.01,31.9,0.0,0.079,0.141,7.807,0.578,0.614,9.0,0.0,9.0,9.0,111.7,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.2,7.0,1.5,3.754,3.959,0.359,88.0
546,"BEEF,TOP SIRLOIN,STEAK,LN,0"" FAT,ALL GRDS,CKD,BRLD",62.98,183,30.55,5.79,1.31,0.0,0.0,0.0,20.0,1.96,26.0,244.0,393.0,64.0,5.71,0.091,0.011,35.8,0.0,0.083,0.155,8.741,0.601,0.656,10.0,0.0,10.0,10.0,116.3,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.1,4.0,1.4,2.205,2.31,0.213,82.0
547,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,ALL GRDS,RAW",70.73,153,22.22,6.5,1.01,0.0,0.0,0.0,21.0,1.66,11.0,200.0,267.0,42.0,3.88,0.058,0.003,22.8,0.0,0.054,0.215,5.751,0.358,0.638,4.0,0.0,4.0,4.0,56.1,1.81,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.1,3.0,1.2,2.53,2.767,0.344,59.0
548,"BEEF,SHRT LN,T-BN STK,BN-IN,LN,1/8"" FAT,ALL GRDS,CKD,GRILLED",61.15,212,27.86,10.37,1.05,0.0,0.0,0.0,18.0,3.57,21.0,219.0,290.0,67.0,4.61,0.073,0.004,29.3,0.0,0.058,0.254,6.109,0.323,0.757,7.0,0.0,7.0,7.0,63.2,1.96,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.1,3.0,1.5,4.219,4.609,0.542,82.0
549,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,SEL,RAW",71.86,144,22.41,5.34,1.02,0.0,0.0,0.0,23.0,1.77,12.0,214.0,284.0,57.0,4.01,0.054,0.002,21.8,0.0,0.058,0.2,5.73,0.375,0.644,4.0,0.0,4.0,4.0,58.9,1.84,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,2.0,1.2,2.152,2.282,0.298,59.0
550,"BEEF,SHRT LN,T-BONE STK,BONE-IN,LN,1/8"" FAT,SEL,CKD,GRILLED",61.98,206,28.45,9.35,1.09,0.0,0.0,0.0,18.0,3.65,24.0,234.0,304.0,66.0,4.47,0.063,0.004,28.5,0.0,0.061,0.23,5.835,0.374,0.754,7.0,0.0,7.0,7.0,61.5,2.07,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1,3.0,1.5,3.648,3.785,0.48,83.0
551,"BEEF,GROUND,70% LN MEAT / 30% FAT,CRUMBLES,CKD,PAN-BROWNED",55.78,270,25.56,17.86,1.04,0.0,0.0,0.0,41.0,2.48,20.0,202.0,328.0,96.0,5.95,0.074,0.012,21.6,0.0,0.047,0.191,4.859,0.807,0.428,13.0,0.0,13.0,13.0,78.3,2.8,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2.0,3.0,6.942,8.37,0.466,89.0
552,"BEEF,GROUND,70% LN MEAT / 30% FAT,LOAF,CKD,BKD",58.37,241,23.87,15.37,0.88,0.0,0.0,0.0,33.0,2.27,17.0,166.0,241.0,73.0,5.84,0.079,0.009,19.1,0.0,0.051,0.171,4.026,0.512,0.311,7.0,0.0,7.0,7.0,73.2,2.49,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2.0,2.9,6.073,7.322,0.408,88.0
