,Unnamed: 0,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
92,92,"BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK",81.81,86,3.82,3.46,0.92,10.0,0.4,5.9,153.0,3.63,18.0,111.0,178.0,48.0,0.49,0.053,0.004,4.9,0.4,0.315,0.437,1.605,0.345,0.104,6.0,0.0,6.0,6.0,15.4,0.43,155.0,43.0,42.0,2.0,8.0,0.0,0.0,12.0,0.44,1.2,47.0,0.5,1.82,0.859,0.345,10.0
515,515,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,W/SALT",95.0,16,1.03,0.17,0.5,3.3,1.9,1.5,15.0,0.33,19.0,28.0,140.0,237.0,0.24,0.083,0.128,0.2,10.8,0.051,0.025,0.464,0.079,0.085,21.0,0.0,21.0,21.0,6.2,0.0,85.0,4.0,0.0,0.0,51.0,0.0,0.0,250.0,0.12,0.0,0.0,3.5,0.035,0.013,0.072,0.0
785,785,"FAST FOODS,HAMBURGER; SINGLE,REG PATTY; PLN",38.45,297,16.52,12.01,1.52,31.5,1.7,4.88,62.0,3.06,27.0,134.0,197.0,331.0,2.52,0.121,0.357,20.3,0.0,0.317,0.363,5.617,0.53,0.212,80.0,29.0,51.0,100.0,34.4,0.89,51.0,9.0,8.0,0.0,15.0,1.0,5.0,38.0,0.38,0.1,2.0,4.9,4.493,4.835,1.68,33.0
7,7,"CREAM,SOUR,RED FAT,CULTURED",80.14,135,2.94,12.0,0.66,4.26,0.0,0.16,104.0,0.07,10.0,95.0,129.0,89.0,0.5,0.016,0.003,2.1,0.9,0.035,0.149,0.067,0.363,0.016,11.0,0.0,11.0,11.0,19.2,0.3,372.0,102.0,100.0,0.0,23.0,0.0,0.0,0.0,0.34,0.2,9.0,0.6,7.47,3.466,0.446,39.0
491,491,"LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS",81.17,71,4.07,0.29,1.14,13.33,3.6,0.93,28.0,1.61,34.0,71.0,285.0,4.0,0.64,0.162,0.7,1.1,8.7,0.029,0.043,0.532,0.095,0.062,16.0,0.0,16.0,16.0,25.3,0.0,150.0,8.0,0.0,0.0,90.0,0.0,0.0,0.0,0.29,0.0,0.0,3.6,0.066,0.016,0.139,0.0
460,460,"RADISHES,RAW",95.27,16,0.68,0.1,0.55,3.4,1.6,1.86,25.0,0.34,10.0,20.0,233.0,39.0,0.28,0.05,0.069,0.6,14.8,0.012,0.039,0.254,0.165,0.071,25.0,0.0,25.0,25.0,6.5,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,1.3,0.032,0.017,0.048,0.0
884,884,"BEEF,COMP OF RTL CUTS,LN,1/8"" FAT,CHOIC,RAW",71.22,147,22.01,6.05,1.04,0.0,0.0,0.0,18.0,1.91,21.0,193.0,308.0,55.0,4.59,0.078,0.028,26.2,0.0,0.088,0.195,6.31,0.511,0.582,9.0,0.0,9.0,9.0,74.0,1.75,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26,0.1,2.0,1.3,2.222,2.566,0.307,62.0
14,14,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,3.37,0.08,0.75,4.96,0.0,5.09,122.0,0.03,11.0,101.0,156.0,42.0,0.42,0.013,0.003,3.1,0.0,0.045,0.182,0.094,0.357,0.037,5.0,0.0,5.0,5.0,15.6,0.5,204.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.01,1.2,47.0,0.0,0.056,0.022,0.003,2.0
944,944,"FROZEN NOVELTIES,JUC TYPE,JUC W/ CRM",72.57,115,1.41,1.41,0.5,24.11,0.1,20.61,141.0,0.28,9.0,41.0,120.0,42.0,0.27,0.013,0.059,0.8,21.2,0.025,0.101,0.151,0.195,0.029,11.0,0.0,11.0,11.0,15.6,0.14,145.0,19.0,14.0,0.0,59.0,0.0,0.0,27.0,0.06,0.0,0.0,0.2,0.705,0.0,0.0,7.0
731,731,"ROLLS,HAMBURGER OR HOTDOG,PLN",34.34,279,9.77,3.91,1.85,50.12,1.8,7.28,144.0,3.43,23.0,101.0,122.0,494.0,0.73,0.109,0.512,27.2,1.3,0.543,0.297,4.18,0.555,0.063,94.0,53.0,41.0,131.0,14.6,0.2,107.0,29.0,29.0,0.0,7.0,0.0,0.0,6.0,0.27,0.0,0.0,4.8,0.842,0.748,1.78,0.0
809,809,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,RAW",65.49,208,20.69,13.27,0.95,0.0,0.0,0.0,19.0,2.13,10.0,179.0,235.0,42.0,3.09,0.065,0.002,19.2,0.0,0.053,0.202,4.865,0.355,0.672,3.0,0.0,3.0,3.0,55.4,1.83,15.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,4.0,1.5,5.696,6.119,0.613,60.0
94,94,"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,RTF",88.0,63,1.38,3.5,0.32,7.18,0.0,7.18,51.0,0.46,5.0,35.0,71.0,18.0,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.294,0.04,11.0,11.0,0.0,18.0,8.0,0.19,193.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.87,1.0,40.0,5.2,1.479,1.291,0.689,1.0
379,379,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN,RAW",72.84,140,20.76,5.64,1.01,0.0,0.0,0.0,21.0,0.9,23.0,204.0,338.0,67.0,3.0,0.083,0.012,34.8,0.0,0.394,0.271,3.097,1.737,0.577,0.0,0.0,0.0,0.0,87.3,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,22.0,0.0,2.012,2.477,0.645,74.0
123,123,"INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA",87.87,66,1.4,3.54,0.18,7.19,0.0,7.19,55.0,1.18,4.0,37.0,70.0,20.0,0.49,0.059,0.003,1.2,5.9,0.066,0.098,0.689,0.295,0.039,10.0,10.0,0.0,17.0,10.6,0.16,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,39.0,5.2,2.3,0.364,0.793,0.0
820,820,"BEEF,RIB EYE STK,BNE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,GRLD",59.69,221,27.4,12.43,1.09,0.0,0.0,0.0,22.0,2.62,25.0,184.0,279.0,67.0,6.0,0.081,0.081,28.2,0.0,0.105,0.334,5.683,0.625,0.547,7.0,0.0,7.0,7.0,57.1,2.22,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,4.0,1.6,4.794,5.628,0.594,80.0
475,475,"TOMATOES,GREEN,RAW",93.0,23,1.2,0.2,0.5,5.1,1.1,4.0,13.0,0.51,10.0,28.0,204.0,13.0,0.07,0.09,0.1,0.4,23.4,0.06,0.04,0.5,0.5,0.081,9.0,0.0,9.0,9.0,8.6,0.0,642.0,32.0,0.0,78.0,346.0,0.0,0.0,0.0,0.38,0.0,0.0,10.1,0.028,0.03,0.081,0.0
735,735,"ICE CREAMS,VANILLA",61.0,207,3.5,11.0,0.9,23.6,0.7,21.22,128.0,0.09,14.0,105.0,199.0,80.0,0.69,0.023,0.008,1.8,0.6,0.041,0.24,0.116,0.581,0.048,5.0,0.0,5.0,5.0,26.0,0.39,421.0,118.0,116.0,0.0,19.0,0.0,0.0,0.0,0.3,0.2,8.0,0.3,6.79,2.969,0.452,44.0
930,930,"RESTAURANT,FAMILY STYLE,MACARONI & CHS,FROM KIDS' MENU",68.24,151,5.42,6.06,1.48,18.8,1.1,3.09,99.0,0.68,19.0,137.0,135.0,361.0,0.64,0.064,0.194,19.4,0.0,0.095,0.254,0.783,0.474,0.057,34.0,12.0,22.0,42.0,3.9,0.18,118.0,31.0,30.0,1.0,9.0,0.0,0.0,77.0,0.75,0.1,3.0,0.5,2.147,1.954,1.663,10.0
302,302,"GRAPES,CND,THOMPSON SEEDLESS,H2O PK,SOL&LIQUIDS",88.84,40,0.5,0.11,0.25,10.3,0.6,9.7,10.0,0.98,6.0,18.0,107.0,6.0,0.05,0.056,0.039,0.1,1.0,0.031,0.023,0.13,0.041,0.065,3.0,0.0,3.0,3.0,3.8,0.0,45.0,2.0,0.0,1.0,26.0,0.0,0.0,48.0,0.13,0.0,0.0,9.8,0.035,0.004,0.031,0.0
