,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot,Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),class
322,"PINEAPPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",86.37,53,0.36,0.12,0.28,12.87,0.2,9.98,13,0.31,12,8,130,2,0.11,0.069,0.504,0.1,10,0.058,0.021,0.199,0.056,0.1,18,0,18,18,3.3,0,5,0,0,0,3,0,0,0,0.02,0,0,0.3,0.008,0.014,0.042,0,0
323,"PINEAPPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O",86.6,51,0.4,0.03,0.3,12.67,0.2,12.47,13,0.16,14,9,132,1,0.08,0.045,1.049,0.1,12,0.07,0.02,0.2,0.125,0.074,11,0,11,11,3.3,0,10,1,0,0,6,0,0,0,0.01,0,0,0.3,0.002,0.003,0.01,0,0
324,"PLUMS,CND,PURPLE,LT SYRUP PK,SOL&LIQUIDS",83,63,0.37,0.1,0.25,16.28,0.9,15.35,9,0.86,5,13,93,20,0.08,0.038,0.032,0,0.4,0.016,0.039,0.297,0.072,0.027,3,0,3,3,1.3,0,231,12,0,0,127,23,0,49,0.18,0,0,4.3,0.008,0.069,0.023,0,2
325,"POMEGRANATES,RAW",77.93,83,1.67,1.17,0.53,18.7,4,13.67,10,0.3,12,36,236,3,0.35,0.158,0.119,0.5,10.2,0.067,0.053,0.293,0.377,0.075,38,0,38,38,7.6,0,0,0,0,0,0,0,0,0,0.6,0,0,16.4,0.12,0.093,0.079,0,0
326,"PRUNE JUICE,CANNED",81.24,71,0.61,0.03,0.68,17.45,1,16.45,12,1.18,14,25,276,4,0.21,0.068,0.151,0.6,4.1,0.016,0.07,0.785,0.107,0.218,0,0,0,0,2.7,0,3,0,0,0,2,0,0,40,0.12,0,0,3.4,0.003,0.021,0.007,0,0
327,"RASPBERRIES,CND,RED,HVY SYRUP PK,SOL&LIQUIDS",75.33,91,0.83,0.12,0.36,23.36,3.3,20.06,11,0.42,12,9,94,3,0.16,0.057,0.233,0.1,8.7,0.02,0.031,0.443,0.245,0.042,11,0,11,11,8.2,0,33,2,0,16,12,0,0,91,0.59,0,0,5.2,0.005,0.011,0.068,0,0
328,"RASPBERRIES,FRZ,RED,SWTND",72.75,103,0.7,0.16,0.24,26.16,4.4,21.76,15,0.65,13,17,114,1,0.18,0.105,0.65,0.3,16.5,0.019,0.045,0.23,0.15,0.034,26,0,26,26,10.2,0,60,3,0,29,21,0,0,113,0.72,0,0,6.5,0.005,0.015,0.089,0,0
329,"RHUBARB,RAW",93.61,21,0.9,0.2,0.76,4.54,1.8,1.1,86,0.22,12,14,288,4,0.1,0.021,0.196,1.1,8,0.02,0.03,0.3,0.085,0.024,7,0,7,7,6.1,0,102,5,0,0,61,0,0,170,0.27,0,0,29.3,0.053,0.039,0.099,0,0
330,"RHUBARB,FROZEN,UNCOOKED",93.51,21,0.55,0.11,0.72,5.1,1.8,1.1,194,0.29,18,12,108,2,0.1,0.023,0.097,1.1,4.8,0.031,0.029,0.203,0.065,0.025,8,0,8,8,6.1,0,107,5,0,0,64,0,0,170,0.27,0,0,29.3,0.029,0.021,0.054,0,2
331,"PEARS,ASIAN,RAW",88.25,42,0.5,0.23,0.37,10.65,3.6,7.05,4,0,8,11,121,0,0.02,0.05,0.06,0.1,3.8,0.009,0.01,0.219,0.07,0.022,8,0,8,8,5.1,0,0,0,0,0,0,0,0,50,0.12,0,0,4.5,0.012,0.049,0.055,0,0
332,"BLUEBERRIES,CND,LT SYRUP,DRND",75.72,88,1.04,0.4,0.18,22.66,2.6,17.45,6,0.43,4,12,54,3,0.09,0.053,0.44,0.1,0.5,0.046,0.132,0.363,0.041,0.049,2,0,2,2,4,0,36,2,0,0,22,0,0,53,1.38,0,0,19.9,0.028,0.062,0.19,0,0
333,"CHERRIES,SWT,CND,PITTED,HVY SYRUP,DRND",77.61,83,0.73,0.21,0.39,21.07,2.3,16.18,10,0.35,9,20,148,3,0.1,0.176,0.048,0,3.6,0.022,0.043,0.396,0.06,0.022,5,0,5,5,2.7,0,237,12,0,0,142,0,0,57,0.17,0,0,0.9,0.041,0.049,0.055,0,2
334,"GUANABANA NECTAR,CND",84.72,59,0.11,0.17,0.08,14.93,0.1,13.07,7,0.36,3,2,25,8,0.02,0.01,0.01,0.4,11.1,0.003,0.011,0.12,0.07,0.007,6,0,6,6,2.2,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.029,0.051,0.039,0,0
335,"POMEGRANATE JUC,BTLD",85.95,54,0.15,0.29,0.49,13.13,0.1,12.65,11,0.1,7,11,214,9,0.09,0.021,0.095,0.3,0.1,0.015,0.015,0.233,0.285,0.04,24,0,24,24,4.8,0,0,0,0,0,0,0,0,0,0.38,0,0,10.4,0.077,0.059,0.05,0,0
336,"PORK,FRSH,LEG (HAM),RUMP HALF,LN&FAT,RAW",68.64,182,20.27,10.63,1.05,0,0,0,12,0.62,20,216,356,73,1.7,0.079,0.009,19.7,0,0.498,0.309,5.623,0.63,0.506,0,0,0,0,69.6,0.4,16,5,5,0,0,0,0,0,0.2,0.5,18,0,3.526,4.445,2.156,63,1
